"Season","Date","Court","Time","Visitor","Home","Division","Location"
"Winter 2013","1/12/2013","Court 4","6:30pm","3G Elkhorn Elite 3rd Grabowski","3G Bellevue Thunder 3rd","3rd Grade Gold","Lied Center"
"Winter 2013","1/19/2013","Court 4","3:30pm","3G Blair 3rd","3G Bellevue Thunder 3rd","3rd Grade Gold","Lied Center"
"Winter 2013","1/26/2013","Court 4","4:30pm","3G Gretna 3rd Green","3G Bellevue Thunder 3rd","3rd Grade Gold","Lied Center"
"Winter 2013","2/2/2013","Court 4","1:30pm","3G BGBC 3rd","3G Bellevue Thunder 3rd","3rd Grade Gold","Lied Center"
"Winter 2013","2/23/2013","Court 4","3:30pm","3G BGBC 3rd","3G Blair 3rd","3rd Grade Gold","Lied Center"
"Winter 2013","3/2/2013","Court 4","2:30pm","3G Gretna 3rd Green","3G Blair 3rd","3rd Grade Gold","Lied Center"
"Winter 2013","1/12/2013","Court 4","12:30pm","3G Blair 3rd","3G CB Titans 3rd","3rd Grade Gold","Lied Center"
"Winter 2013","1/19/2013","Court 4","2:30pm","3G Gretna 3rd Green","3G CB Titans 3rd","3rd Grade Gold","Lied Center"
"Winter 2013","1/26/2013","Court 4","6:30pm","3G BGBC 3rd","3G CB Titans 3rd","3rd Grade Gold","Lied Center"
"Winter 2013","2/2/2013","Court 4","5:30pm","3G Elkhorn Elite 3rd Grabowski","3G CB Titans 3rd","3rd Grade Gold","Lied Center"
"Winter 2013","2/9/2013","Court 3","2:30pm","3G Bellevue Thunder 3rd","3G CB Titans 3rd","3rd Grade Gold","Lied Center"
"Winter 2013","1/12/2013","Court 4","3:30pm","3G Gretna 3rd Green","3G Elkhorn Elite 3rd George","3rd Grade Gold","Lied Center"
"Winter 2013","1/19/2013","Court 3","5:30pm","3G Blair 3rd","3G Elkhorn Elite 3rd George","3rd Grade Gold","Lied Center"
"Winter 2013","1/26/2013","Court 4","5:30pm","3G Elkhorn Elite 3rd Grabowski","3G Elkhorn Elite 3rd George","3rd Grade Gold","Lied Center"
"Winter 2013","2/2/2013","Court 4","2:30pm","3G BGBC 3rd","3G Elkhorn Elite 3rd George","3rd Grade Gold","Lied Center"
"Winter 2013","2/23/2013","Court 4","6:30pm","3G Bellevue Thunder 3rd","3G Elkhorn Elite 3rd George","3rd Grade Gold","Lied Center"
"Winter 2013","3/2/2013","Court 4","3:30pm","3G CB Titans 3rd","3G Elkhorn Elite 3rd George","3rd Grade Gold","Lied Center"
"Winter 2013","2/9/2013","Court 4","3:30pm","3G Blair 3rd","3G Elkhorn Elite 3rd Grabowski","3rd Grade Gold","Lied Center"
"Winter 2013","2/23/2013","Court 4","4:30pm","3G Gretna 3rd Green","3G Elkhorn Elite 3rd Grabowski","3rd Grade Gold","Lied Center"
"Winter 2013","3/2/2013","Court 3","6:30pm","3G BGBC 3rd","3G Elkhorn Elite 3rd Grabowski","3rd Grade Gold","Lied Center"
"Winter 2013","2/9/2013","Court 3","4:30pm","3G BGBC 3rd","3G Gretna 3rd Green","3rd Grade Gold","Lied Center"
"Winter 2013","1/12/2013","Court 4","4:30pm","3G BGBC 3rd","3G PLV Monarchs 3rd","3rd Grade Gold","Lied Center"
"Winter 2013","1/19/2013","Court 4","12:30pm","3G Elkhorn Elite 3rd Grabowski","3G PLV Monarchs 3rd","3rd Grade Gold","Lied Center"
"Winter 2013","2/2/2013","Court 3","2:30pm","3G Bellevue Thunder 3rd","3G PLV Monarchs 3rd","3rd Grade Gold","Lied Center"
"Winter 2013","2/2/2013","Court 4","4:30pm","3G Gretna 3rd Green","3G PLV Monarchs 3rd","3rd Grade Gold","Lied Center"
"Winter 2013","2/9/2013","Court 4","2:30pm","3G Elkhorn Elite 3rd George","3G PLV Monarchs 3rd","3rd Grade Gold","Lied Center"
"Winter 2013","2/23/2013","Court 4","5:30pm","3G CB Titans 3rd","3G PLV Monarchs 3rd","3rd Grade Gold","Lied Center"
"Winter 2013","1/12/2013","Court 4","7:30pm","4B A.L. Jr. Lynx 4th","4B Bellevue Thunder 4th","4th Grade Bronze","Lied Center"
"Winter 2013","2/23/2013","Court 3","1:30pm","4B A.L. Jr. Lynx 4th","4B Elkhorn Elite 4th Metschke","4th Grade Bronze","Lied Center"
"Winter 2013","3/2/2013","Court 4","1:30pm","4B Bellevue Thunder 4th","4B Elkhorn Elite 4th Metschke","4th Grade Bronze","Lied Center"
"Winter 2013","1/12/2013","Court 4","2:30pm","4B Tailblazers 4th","4B Gretna 4th Green","4th Grade Bronze","Lied Center"
"Winter 2013","1/19/2013","Court 3","7:30pm","4B Gretna 4th White","4B Gretna 4th Green","4th Grade Bronze","Lied Center"
"Winter 2013","1/26/2013","Court 3","2:30pm","4B Elkhorn Elite 4th Metschke","4B Gretna 4th Green","4th Grade Bronze","Lied Center"
"Winter 2013","2/2/2013","Court 3","7:30pm","4B Bellevue Thunder 4th","4B Gretna 4th Green","4th Grade Bronze","Lied Center"
"Winter 2013","2/9/2013","Court 3","1:30pm","4B A.L. Jr. Lynx 4th","4B Gretna 4th Green","4th Grade Bronze","Lied Center"
"Winter 2013","2/23/2013","Court 4","1:30pm","4B OSA 3rd","4B Gretna 4th Green","4th Grade Bronze","Lied Center"
"Winter 2013","3/2/2013","Court 3","3:30pm","4B Millard West 4th White","4B Gretna 4th Green","4th Grade Bronze","Lied Center"
"Winter 2013","1/12/2013","Court 3","5:30pm","4B Elkhorn Elite 4th Metschke","4B Gretna 4th White","4th Grade Bronze","Lied Center"
"Winter 2013","2/23/2013","Court 3","4:30pm","4B Bellevue Thunder 4th","4B Gretna 4th White","4th Grade Bronze","Lied Center"
"Winter 2013","3/2/2013","Court 4","12:30pm","4B A.L. Jr. Lynx 4th","4B Gretna 4th White","4th Grade Bronze","Lied Center"
"Winter 2013","1/19/2013","Court 3","6:30pm","4B Elkhorn Elite 4th Metschke","4B Millard West 4th White","4th Grade Bronze","Lied Center"
"Winter 2013","1/26/2013","Court 3","1:30pm","4B Bellevue Thunder 4th","4B Millard West 4th White","4th Grade Bronze","Lied Center"
