"Season","Date","Court","Time","Visitor","Home","Division","Location"
"Winter 2013","1/13/2013","Court 4","11:30am","6B Millard North Blue 6th","6B Abraham Lincoln Lynx 6th","6th Grade Bronze","Lied Center"
"Winter 2013","1/27/2013","Court 4","10:30am","6B Millard West Green 6th","6B Abraham Lincoln Lynx 6th","6th Grade Bronze","Lied Center"
"Winter 2013","2/10/2013","Court 4","2:30pm","6B Fort Calhoun 6th","6B Abraham Lincoln Lynx 6th","6th Grade Bronze","Lied Center"
"Winter 2013","3/3/2013","Court 4","2:30pm","6B Platteview Jr. Trojans 6th","6B Abraham Lincoln Lynx 6th","6th Grade Bronze","Lied Center"
"Winter 2013","1/20/2013","Court 4","11:30am","6B PLV South Titans Blue 6th","6B Bellevue Thunder Purple 6th","6th Grade Bronze","Lied Center"
"Winter 2013","1/27/2013","Court 4","12:30pm","6B Abraham Lincoln Lynx 6th","6B Bellevue Thunder Purple 6th","6th Grade Bronze","Lied Center"
"Winter 2013","3/3/2013","Court 4","11:30am","6B Millard West Green 6th","6B Bellevue Thunder Purple 6th","6th Grade Bronze","Lied Center"
"Winter 2013","3/3/2013","Court 4","12:30pm","6B Gretna Green 6th","6B Bellevue Thunder Purple 6th","6th Grade Bronze","Lied Center"
"Winter 2013","1/20/2013","Court 4","2:30pm","6B Fort Calhoun 6th","6B Elkhorn Elite Hill 6th","6th Grade Bronze","Lied Center"
"Winter 2013","2/3/2013","Court 4","10:30am","6B PLV South Titans Blue 6th","6B Elkhorn Elite Hill 6th","6th Grade Bronze","Lied Center"
"Winter 2013","2/24/2013","Court 4","11:30am","6B Bellevue Thunder Purple 6th","6B Elkhorn Elite Hill 6th","6th Grade Bronze","Lied Center"
"Winter 2013","1/13/2013","Court 4","2:30pm","6B Millard West Green 6th","6B Fort Calhoun 6th","6th Grade Bronze","Lied Center"
"Winter 2013","2/3/2013","Court 4","1:30pm","6B Gretna Green 6th","6B Fort Calhoun 6th","6th Grade Bronze","Lied Center"
"Winter 2013","2/24/2013","Court 4","2:30pm","6B Platteview Jr. Trojans 6th","6B Fort Calhoun 6th","6th Grade Bronze","Lied Center"
"Winter 2013","1/20/2013","Court 4","1:30pm","6B Platteview Jr. Trojans 6th","6B Gretna Green 6th","6th Grade Bronze","Lied Center"
"Winter 2013","2/3/2013","Court 4","11:30am","6B Westside Red 6th","6B Gretna Green 6th","6th Grade Bronze","Lied Center"
"Winter 2013","2/24/2013","Court 4","10:30am","6B Abraham Lincoln Lynx 6th","6B Gretna Green 6th","6th Grade Bronze","Lied Center"
"Winter 2013","3/3/2013","Court 4","1:30pm","6B Elkhorn Elite Hill 6th","6B Gretna Green 6th","6th Grade Bronze","Lied Center"
"Winter 2013","1/27/2013","Court 4","11:30am","6B Elkhorn Elite Hill 6th","6B Millard North Blue 6th","6th Grade Bronze","Lied Center"
"Winter 2013","2/3/2013","Court 4","2:30pm","6B Fort Calhoun 6th","6B Millard North Blue 6th","6th Grade Bronze","Lied Center"
"Winter 2013","2/24/2013","Court 4","12:30pm","6B PLV South Titans Blue 6th","6B Millard North Blue 6th","6th Grade Bronze","Lied Center"
"Winter 2013","1/20/2013","Court 4","10:30am","6B Millard North Blue 6th","6B Millard West Green 6th","6th Grade Bronze","Lied Center"
"Winter 2013","2/3/2013","Court 4","12:30pm","6B Platteview Jr. Trojans 6th","6B Millard West Green 6th","6th Grade Bronze","Lied Center"
"Winter 2013","2/24/2013","Court 4","1:30pm","6B Westside Red 6th","6B Millard West Green 6th","6th Grade Bronze","Lied Center"
"Winter 2013","1/13/2013","Court 4","1:30pm","6B Elkhorn Elite Hill 6th","6B Platteview Jr. Trojans 6th","6th Grade Bronze","Lied Center"
"Winter 2013","1/27/2013","Court 4","2:30pm","6B Bellevue Thunder Purple 6th","6B Platteview Jr. Trojans 6th","6th Grade Bronze","Lied Center"
"Winter 2013","2/10/2013","Court 4","12:30pm","6B Millard North Blue 6th","6B Platteview Jr. Trojans 6th","6th Grade Bronze","Lied Center"
"Winter 2013","1/13/2013","Court 4","12:30pm","6B Gretna Green 6th","6B PLV South Titans Blue 6th","6th Grade Bronze","Lied Center"
"Winter 2013","1/27/2013","Court 4","1:30pm","6B Westside Red 6th","6B PLV South Titans Blue 6th","6th Grade Bronze","Lied Center"
"Winter 2013","2/10/2013","Court 4","11:30am","6B Millard West Green 6th","6B PLV South Titans Blue 6th","6th Grade Bronze","Lied Center"
"Winter 2013","2/10/2013","Court 4","1:30pm","6B Fort Calhoun 6th","6B PLV South Titans Blue 6th","6th Grade Bronze","Lied Center"
"Winter 2013","1/13/2013","Court 4","10:30am","6B Bellevue Thunder Purple 6th","6B Westside Red 6th","6th Grade Bronze","Lied Center"
"Winter 2013","1/20/2013","Court 4","12:30pm","6B Abraham Lincoln Lynx 6th","6B Westside Red 6th","6th Grade Bronze","Lied Center"
"Winter 2013","2/10/2013","Court 4","10:30am","6B Elkhorn Elite Hill 6th","6B Westside Red 6th","6th Grade Bronze","Lied Center"
"Winter 2013","3/3/2013","Court 4","10:30am","6B Millard North Blue 6th","6B Westside Red 6th","6th Grade Bronze","Lied Center"
"Winter 2013","1/13/2013","Court 4","5:30pm","6G Trailblazers 6th","6G Fighting Masons 6th","6th Grade Gold","Lied Center"
"Winter 2013","1/27/2013","Court 4","7:30pm","6G PLV South Titans Black 6th","6G Fighting Masons 6th","6th Grade Gold","Lied Center"
