"Season","Date","Court","Time","Visitor","Home","Division","Location"
"Winter 2014","1/19/2014","Court 2","6:00pm","3B Gretna Jennings 3rd","3B Elkhorn Elite Blue 3rd","3rd Grade Bronze","Nebraska Elite"
"Winter 2014","1/26/2014","Court 2","6:00pm","3B Gretna Lofberg 3rd","3B Elkhorn Elite Blue 3rd","3rd Grade Bronze","Nebraska Elite"
"Winter 2014","2/2/2014","Court 2","6:00pm","3B Gretna Lazers 3rd","3B Elkhorn Elite Blue 3rd","3rd Grade Bronze","Nebraska Elite"
"Winter 2014","2/9/2014","Court 2","3:00pm","3B Marian Pink Panthers 3rd","3B Elkhorn Elite Blue 3rd","3rd Grade Bronze","Nebraska Elite"
"Winter 2014","1/12/2014","Court 2","4:00pm","3B Gladiators 3rd","3B Elkhorn Elite Red 3rd","3rd Grade Bronze","Nebraska Elite"
"Winter 2014","2/9/2014","Court 2","5:00pm","3B Elkhorn Elite Blue 3rd","3B Elkhorn Elite Red 3rd","3rd Grade Bronze","Nebraska Elite"
"Winter 2014","3/2/2014","Court 2","5:00pm","3B Gretna Lazers 3rd","3B Elkhorn Elite Red 3rd","3rd Grade Bronze","Nebraska Elite"
"Winter 2014","1/19/2014","Court 2","4:00pm","3B Gretna Lazers 3rd","3B Gladiators 3rd","3rd Grade Bronze","Nebraska Elite"
"Winter 2014","2/2/2014","Court 2","5:00pm","3B Elkhorn Elite Blue 3rd","3B Gladiators 3rd","3rd Grade Bronze","Nebraska Elite"
"Winter 2014","2/23/2014","Court 2","5:00pm","3B Gretna Jennings 3rd","3B Gladiators 3rd","3rd Grade Bronze","Nebraska Elite"
"Winter 2014","3/2/2014","Court 2","3:00pm","3B Marian Pink Panthers 3rd","3B Gladiators 3rd","3rd Grade Bronze","Nebraska Elite"
"Winter 2014","1/12/2014","Court 2","5:00pm","3B Marian Pink Panthers 3rd","3B Gretna Jennings 3rd","3rd Grade Bronze","Nebraska Elite"
"Winter 2014","1/26/2014","Court 2","4:00pm","3B Elkhorn Elite Red 3rd","3B Gretna Jennings 3rd","3rd Grade Bronze","Nebraska Elite"
"Winter 2014","2/9/2014","Court 2","6:00pm","3B Gretna Lazers 3rd","3B Gretna Jennings 3rd","3rd Grade Bronze","Nebraska Elite"
"Winter 2014","3/2/2014","Court 2","6:00pm","3B St. Wenceslaus 3rd","3B Gretna Jennings 3rd","3rd Grade Bronze","Nebraska Elite"
"Winter 2014","1/12/2014","Court 2","3:00pm","3B Gretna Lofberg 3rd","3B Gretna Lazers 3rd","3rd Grade Bronze","Nebraska Elite"
"Winter 2014","1/26/2014","Court 2","5:00pm","3B Marian Pink Panthers 3rd","3B Gretna Lazers 3rd","3rd Grade Bronze","Nebraska Elite"
"Winter 2014","2/23/2014","Court 2","3:00pm","3B St. Wenceslaus 3rd","3B Gretna Lazers 3rd","3rd Grade Bronze","Nebraska Elite"
