Season,Date,Location,Court,Time,Visitor,Home,Division
Fall 2015,10/17/2015,Nebraska Elite,Court 2,5:00pm,3B Blair White 3rd,3B Abraham Lincoln Jr. Lynx 3rd,3rd Grade Bronze
Fall 2015,11/21/2015,Nebraska Elite,Court 2,6:00pm,3B Bellevue Thunder 3rd,3B Abraham Lincoln Jr. Lynx 3rd,3rd Grade Bronze
Fall 2015,11/6/2015,Nebraska Elite,Court 1,7:30pm,3B JCC Lady Lions 3rd,3B Abraham Lincoln Jr. Lynx 3rd,3rd Grade Bronze
Fall 2015,10/23/2015,Nebraska Elite,Court 1,7:30pm,3B Elkhorn Angles 3rd,3B Bellevue Thunder 3rd,3rd Grade Bronze
Fall 2015,10/30/2015,Nebraska Elite,Court 1,7:30pm,3B Elkhorn Elite Red 3rd,3B Bellevue Thunder 3rd,3rd Grade Bronze
Fall 2015,11/14/2015,Nebraska Elite,Court 2,5:00pm,3B Gretna Green 3rd,3B Bellevue Thunder 3rd,3rd Grade Bronze
Fall 2015,12/4/2015,Nebraska Elite,Court 1,7:30pm,3B JCC Lady Lions 3rd,3B Bellevue Thunder 3rd,3rd Grade Bronze
Fall 2015,10/23/2015,Nebraska Elite,Court 1,6:30pm,3B JCC Lady Lions 3rd,3B Blair White 3rd,3rd Grade Bronze
Fall 2015,11/21/2015,Nebraska Elite,Court 2,5:00pm,3B Elkhorn Angles 3rd,3B Blair White 3rd,3rd Grade Bronze
Fall 2015,11/6/2015,Nebraska Elite,Court 1,6:30pm,3B Bellevue Thunder 3rd,3B Blair White 3rd,3rd Grade Bronze
Fall 2015,12/5/2015,Nebraska Elite,Court 2,5:00pm,3B Gretna Green 3rd,3B Blair White 3rd,3rd Grade Bronze
Fall 2015,10/16/2015,Nebraska Elite,Court 1,6:30pm,3B Gretna Green 3rd,3B Elkhorn Angles 3rd,3rd Grade Bronze
Fall 2015,10/31/2015,Nebraska Elite,Court 2,5:00pm,3B Abraham Lincoln Jr. Lynx 3rd,3B Elkhorn Angles 3rd,3rd Grade Bronze
Fall 2015,11/13/2015,Nebraska Elite,Court 1,6:30pm,3B JCC Lady Lions 3rd,3B Elkhorn Angles 3rd,3rd Grade Bronze
Fall 2015,12/5/2015,Nebraska Elite,Court 2,6:00pm,3B Gretna White 3rd,3B Elkhorn Angles 3rd,3rd Grade Bronze
Fall 2015,10/24/2015,Nebraska Elite,Court 2,5:00pm,3B Gretna White 3rd,3B Elkhorn Elite Red 3rd,3rd Grade Bronze
Fall 2015,11/14/2015,Nebraska Elite,Court 2,6:00pm,3B Blair White 3rd,3B Elkhorn Elite Red 3rd,3rd Grade Bronze
Fall 2015,11/7/2015,Nebraska Elite,Court 2,5:00pm,3B Elkhorn Angles 3rd,3B Elkhorn Elite Red 3rd,3rd Grade Bronze
Fall 2015,12/4/2015,Nebraska Elite,Court 1,6:30pm,3B Abraham Lincoln Jr. Lynx 3rd,3B Elkhorn Elite Red 3rd,3rd Grade Bronze
Fall 2015,10/24/2015,Nebraska Elite,Court 2,6:00pm,3B Abraham Lincoln Jr. Lynx 3rd,3B Gretna Green 3rd,3rd Grade Bronze
Fall 2015,11/20/2015,Nebraska Elite,Court 1,7:30pm,3B Elkhorn Elite Red 3rd,3B Gretna Green 3rd,3rd Grade Bronze
Fall 2015,11/7/2015,Nebraska Elite,Court 2,6:00pm,3B Gretna White 3rd,3B Gretna Green 3rd,3rd Grade Bronze
Fall 2015,10/17/2015,Nebraska Elite,Court 2,6:00pm,3B Bellevue Thunder 3rd,3B Gretna White 3rd,3rd Grade Bronze
Fall 2015,10/31/2015,Nebraska Elite,Court 2,6:00pm,3B Blair White 3rd,3B Gretna White 3rd,3rd Grade Bronze
Fall 2015,11/13/2015,Nebraska Elite,Court 1,7:30pm,3B Abraham Lincoln Jr. Lynx 3rd,3B Gretna White 3rd,3rd Grade Bronze
Fall 2015,10/16/2015,Nebraska Elite,Court 1,7:30pm,3B Elkhorn Elite Red 3rd,3B JCC Lady Lions 3rd,3rd Grade Bronze
Fall 2015,10/30/2015,Nebraska Elite,Court 1,6:30pm,3B Gretna Green 3rd,3B JCC Lady Lions 3rd,3rd Grade Bronze
Fall 2015,11/20/2015,Nebraska Elite,Court 1,6:30pm,3B Gretna White 3rd,3B JCC Lady Lions 3rd,3rd Grade Bronze
Fall 2015,10/17/2015,Nebraska Elite,Court 2,10:00am,3GS Elkhorn South Jr. Storm 3rd,3GS Bennington Badgers Oconnor 3rd,3rd Grade Gold/Silver
Fall 2015,11/21/2015,Nebraska Elite,Court 2,9:00am,3GS PLV Monarchs 3rd,3GS Bennington Badgers Oconnor 3rd,3rd Grade Gold/Silver
Fall 2015,11/7/2015,Nebraska Elite,Court 2,1:00pm,3GS Elkhorn Elite Gold 3rd,3GS Bennington Badgers Oconnor 3rd,3rd Grade Gold/Silver
Fall 2015,10/17/2015,Nebraska Elite,Court 2,11:00am,3GS PLV South Titans 3rd,3GS Blair Purple 3rd,3rd Grade Gold/Silver
Fall 2015,10/31/2015,Nebraska Elite,Court 2,1:00pm,3GS Elkhorn South Jr. Storm 3rd,3GS Blair Purple 3rd,3rd Grade Gold/Silver
Fall 2015,11/14/2015,Nebraska Elite,Court 2,1:00pm,3GS Bennington Badgers Oconnor 3rd,3GS Blair Purple 3rd,3rd Grade Gold/Silver
Fall 2015,10/17/2015,Nebraska Elite,Court 2,1:00pm,3GS Lady Grizzlies Black 3rd,3GS Elkhorn Elite Gold 3rd,3rd Grade Gold/Silver
Fall 2015,10/31/2015,Nebraska Elite,Court 2,10:00am,3GS Millard West Black 3rd,3GS Elkhorn Elite Gold 3rd,3rd Grade Gold/Silver
Fall 2015,11/21/2015,Nebraska Elite,Court 2,10:00am,3GS Blair Purple 3rd,3GS Elkhorn Elite Gold 3rd,3rd Grade Gold/Silver
Fall 2015,10/24/2015,Nebraska Elite,Court 2,12:00pm,3GS Elkhorn Elite Gold 3rd,3GS Elkhorn South Jr. Storm 3rd,3rd Grade Gold/Silver
Fall 2015,11/21/2015,Nebraska Elite,Court 2,11:00am,3GS PLV South Titans 3rd,3GS Elkhorn South Jr. Storm 3rd,3rd Grade Gold/Silver
Fall 2015,11/7/2015,Nebraska Elite,Court 2,9:00am,3GS PLV Monarchs 3rd,3GS Elkhorn South Jr. Storm 3rd,3rd Grade Gold/Silver
Fall 2015,10/24/2015,Nebraska Elite,Court 2,9:00am,3GS Blair Purple 3rd,3GS Lady Grizzlies Black 3rd,3rd Grade Gold/Silver
Fall 2015,11/14/2015,Nebraska Elite,Court 2,11:00am,3GS OSA 3rd,3GS Lady Grizzlies Black 3rd,3rd Grade Gold/Silver
Fall 2015,11/21/2015,Nebraska Elite,Court 2,1:00pm,3GS Roncalli Lady Pride 3rd,3GS Lady Grizzlies Black 3rd,3rd Grade Gold/Silver
Fall 2015,12/5/2015,Nebraska Elite,Court 2,10:00am,3GS Elkhorn South Jr. Storm 3rd,3GS Lady Grizzlies Black 3rd,3rd Grade Gold/Silver
Fall 2015,10/24/2015,Nebraska Elite,Court 2,11:00am,3GS Bennington Badgers Oconnor 3rd,3GS Millard West Black 3rd,3rd Grade Gold/Silver
Fall 2015,11/21/2015,Nebraska Elite,Court 2,12:00pm,3GS OSA 3rd,3GS Millard West Black 3rd,3rd Grade Gold/Silver
Fall 2015,11/7/2015,Nebraska Elite,Court 2,12:00pm,3GS Blair Purple 3rd,3GS Millard West Black 3rd,3rd Grade Gold/Silver
Fall 2015,10/24/2015,Nebraska Elite,Court 2,10:00am,3GS Roncalli Lady Pride 3rd,3GS OSA 3rd,3rd Grade Gold/Silver
Fall 2015,10/31/2015,Nebraska Elite,Court 2,9:00am,3GS PLV South Titans 3rd,3GS OSA 3rd,3rd Grade Gold/Silver
Fall 2015,11/7/2015,Nebraska Elite,Court 2,11:00am,3GS Elkhorn South Jr. Storm 3rd,3GS OSA 3rd,3rd Grade Gold/Silver
Fall 2015,12/5/2015,Nebraska Elite,Court 2,9:00am,3GS Bennington Badgers Oconnor 3rd,3GS OSA 3rd,3rd Grade Gold/Silver
Fall 2015,10/17/2015,Nebraska Elite,Court 2,12:00pm,3GS OSA 3rd,3GS PLV Monarchs 3rd,3rd Grade Gold/Silver
Fall 2015,10/31/2015,Nebraska Elite,Court 2,11:00am,3GS Lady Grizzlies Black 3rd,3GS PLV Monarchs 3rd,3rd Grade Gold/Silver
