Season,Date,Time,Visitor,Home,Division,Location,Court
Fall 2016,10/14/2016,5:30pm,3B Bellevue Ice 3rd,3B AL Jr Lynx 3rd,3rd Grade Bronze,NE Elite,Court 2
Fall 2016,10/14/2016,6:30pm,3B Gretna Hermeling 3rd,3B Blair White 3rd,3rd Grade Bronze,NE Elite,Court 2
Fall 2016,10/14/2016,7:30pm,3B Wildcats 3rd,3B Bennington Cemer 3rd,3rd Grade Bronze,NE Elite,Court 2
Fall 2016,10/15/2016,10:00am,3B Bellevue Thunder Purple 3rd,3B AG Lady Jays 3rd,3rd Grade Bronze,NE Elite,Court 2
Fall 2016,10/15/2016,11:00am,3B Elkhorn Elite Gold 3rd,3B Gretna French 3rd,3rd Grade Bronze,NE Elite,Court 2
Fall 2016,10/15/2016,9:00am,3B Millard West Green 3rd,3B Gretna Rhoades 3rd,3rd Grade Bronze,NE Elite,Court 2
Fall 2016,10/21/2016,5:30pm,3B Wildcats 3rd,3B Blair White 3rd,3rd Grade Bronze,NE Elite,Court 2
Fall 2016,10/21/2016,6:30pm,3B AL Jr Lynx 3rd,3B Elkhorn Elite Gold 3rd,3rd Grade Bronze,NE Elite,Court 2
Fall 2016,10/21/2016,7:30pm,3B Blair White 3rd,3B Millard West Green 3rd,3rd Grade Bronze,NE Elite,Court 2
Fall 2016,10/22/2016,10:00am,3B Gretna French 3rd,3B Bellevue Thunder Purple 3rd,3rd Grade Bronze,NE Elite,Court 2
Fall 2016,10/22/2016,11:00am,3B Bennington Cemer 3rd,3B Bellevue Ice 3rd,3rd Grade Bronze,NE Elite,Court 2
Fall 2016,10/22/2016,9:00am,3B AG Lady Jays 3rd,3B Gretna Hermeling 3rd,3rd Grade Bronze,NE Elite,Court 2
Fall 2016,10/28/2016,5:30pm,3B Gretna Rhoades 3rd,3B Wildcats 3rd,3rd Grade Bronze,NE Elite,Court 2
Fall 2016,10/28/2016,6:30pm,3B Elkhorn Elite Gold 3rd,3B Bennington Cemer 3rd,3rd Grade Bronze,NE Elite,Court 2
Fall 2016,10/28/2016,7:30pm,3B Bellevue Ice 3rd,3B Gretna Rhoades 3rd,3rd Grade Bronze,NE Elite,Court 2
Fall 2016,10/29/2016,10:00am,3B AL Jr Lynx 3rd,3B Gretna French 3rd,3rd Grade Bronze,NE Elite,Court 2
Fall 2016,10/29/2016,11:00am,3B Millard West Green 3rd,3B AG Lady Jays 3rd,3rd Grade Bronze,NE Elite,Court 2
Fall 2016,10/29/2016,9:00am,3B Gretna Hermeling 3rd,3B Bellevue Thunder Purple 3rd,3rd Grade Bronze,NE Elite,Court 2
Fall 2016,11/4/2016,5:30pm,3B Gretna French 3rd,3B Gretna Hermeling 3rd,3rd Grade Bronze,NE Elite,Court 2
