Season,Date,Time,Visitor,Home,Division,Location,Court
Summer 2016,6/1/2016,5:30pm,7 School of Hoops 7th,7 Skutt 7th,7th Grade,NE Elite,Court 1
Summer 2016,6/1/2016,6:30pm,7 Abraham Lincoln Jr. Lynx 7th,7 Millard North Silver 7th,7th Grade,NE Elite,Court 1
Summer 2016,6/1/2016,7:30pm,7 Legacy 7th,7 Legends 7th,7th Grade,NE Elite,Court 1
Summer 2016,6/1/2016,8:30pm,7 Skutt 7th,7 Abraham Lincoln Jr. Lynx 7th,7th Grade,NE Elite,Court 1
Summer 2016,6/1/2016,5:30pm,5/6 OSA Green 4th,5/6 Marian Jr. Cursaders Black 5th,5/6th Grade,NE Elite,Court 2
Summer 2016,6/1/2016,6:30pm,5/6 Gretna Whyte 5th,5/6 Millard West Black 6th,5/6th Grade,NE Elite,Court 2
Summer 2016,6/1/2016,7:30pm,5/6 Marian Jr. Cursaders Black 5th,5/6 Lady Warriors 5th/6th,5/6th Grade,NE Elite,Court 2
Summer 2016,6/1/2016,8:30pm,7 Legacy 7th,7 Millard North Silver 7th,7th Grade,NE Elite,Court 2
Summer 2016,6/2/2016,6:30pm,3/4 Lady Grizzlies Black 4th,3/4 School of Hoops 4th,3/4th Grade,NE Elite,Court 1
Summer 2016,6/2/2016,7:30pm,5/6 OSA Green 4th,5/6 Skutt 6th,5/6th Grade,NE Elite,Court 1
Summer 2016,6/2/2016,8:30pm,5/6 Marian Jr. Cursaders Black 5th,5/6 Gretna Whyte 5th,5/6th Grade,NE Elite,Court 1
Summer 2016,6/2/2016,6:30pm,3/4 OSA 3rd,3/4 Roncalli Lady Pride 3rd,3/4th Grade,NE Elite,Court 2
Summer 2016,6/2/2016,7:30pm,3/4 Roncalli Lady Pride 4th,3/4 OSA White 4th,3/4th Grade,NE Elite,Court 2
Summer 2016,6/2/2016,8:30pm,3/4 Platteview Jr. Trojans 4th,3/4 Millard North 4th,3/4th Grade,NE Elite,Court 2
Summer 2016,6/8/2016,5:30pm,7 School of Hoops 7th,7 OSA Black 7th,7th Grade,NE Elite,Court 1
Summer 2016,6/8/2016,6:30pm,7 Legends 7th,7 School of Hoops 7th,7th Grade,NE Elite,Court 1
Summer 2016,6/8/2016,7:30pm,7 OSA Black 7th,7 Legacy 7th,7th Grade,NE Elite,Court 1
Summer 2016,6/8/2016,8:30pm,7 Legends 7th,7 Millard North Silver 7th,7th Grade,NE Elite,Court 1
Summer 2016,6/8/2016,5:30pm,3/4 Millard North 4th,3/4 OSA 3rd,3/4th Grade,NE Elite,Court 2
Summer 2016,6/8/2016,6:30pm,5/6 Skutt 6th,5/6 Harlan Cyclones 6th,5/6th Grade,NE Elite,Court 2
Summer 2016,6/8/2016,7:30pm,5/6 Harlan Cyclones 6th,5/6 Millard West Black 6th,5/6th Grade,NE Elite,Court 2
Summer 2016,6/8/2016,8:30pm,5/6 Millard West Black 6th,5/6 Skutt 6th,5/6th Grade,NE Elite,Court 2
Summer 2016,6/9/2016,6:30pm,3/4 OSA White 4th,3/4 Platteview Jr. Trojans 4th,3/4th Grade,NE Elite,Court 1
Summer 2016,6/9/2016,7:30pm,5/6 Lady Warriors 5th/6th,5/6 Gretna Whyte 5th,5/6th Grade,NE Elite,Court 1
Summer 2016,6/9/2016,8:30pm,5/6 Lady Grizzlies Orange 6th,5/6 Marian Jr. Cursaders Black 5th,5/6th Grade,NE Elite,Court 1
Summer 2016,6/9/2016,6:30pm,3/4 School of Hoops 4th,3/4 Roncalli Lady Pride 4th,3/4th Grade,NE Elite,Court 2
Summer 2016,6/9/2016,7:30pm,3/4 Roncalli Lady Pride 3rd,3/4 Lady Grizzlies Black 4th,3/4th Grade,NE Elite,Court 2
Summer 2016,6/9/2016,8:30pm,3/4 OSA White 4th,3/4 Lady Grizzlies Black 4th,3/4th Grade,NE Elite,Court 2
Summer 2016,6/15/2016,5:30pm,7 Skutt 7th,7 Legacy 7th,7th Grade,NE Elite,Court 1
Summer 2016,6/15/2016,6:30pm,7 Millard North Silver 7th,7 School of Hoops 7th,7th Grade,NE Elite,Court 1
Summer 2016,6/15/2016,7:30pm,7 OSA Black 7th,7 Skutt 7th,7th Grade,NE Elite,Court 1
Summer 2016,6/15/2016,8:30pm,7 Legends 7th,7 OSA Black 7th,7th Grade,NE Elite,Court 1
Summer 2016,6/15/2016,5:30pm,5/6 OSA Green 4th,5/6 Gretna Whyte 5th,5/6th Grade,NE Elite,Court 2
Summer 2016,6/15/2016,6:30pm,5/6 Marian Jr. Cursaders Black 5th,5/6 Skutt 6th,5/6th Grade,NE Elite,Court 2
Summer 2016,6/15/2016,7:30pm,5/6 Millard West Black 6th,5/6 OSA Green 4th,5/6th Grade,NE Elite,Court 2
Summer 2016,6/15/2016,8:30pm,3/4 Lady Grizzlies Black 4th,3/4 Millard North 4th,3/4th Grade,NE Elite,Court 2
Summer 2016,6/16/2016,6:30pm,3/4 OSA 3rd,3/4 Platteview Jr. Trojans 4th,3/4th Grade,NE Elite,Court 1
Summer 2016,6/16/2016,7:30pm,5/6 Lady Grizzlies Orange 6th,5/6 Lady Warriors 5th/6th,5/6th Grade,NE Elite,Court 1
Summer 2016,6/16/2016,8:30pm,5/6 Gretna Whyte 5th,5/6 Lady Grizzlies Orange 6th,5/6th Grade,NE Elite,Court 1
Summer 2016,6/16/2016,6:30pm,3/4 School of Hoops 4th,3/4 OSA White 4th,3/4th Grade,NE Elite,Court 2
Summer 2016,6/16/2016,7:30pm,3/4 Roncalli Lady Pride 4th,3/4 Platteview Jr. Trojans 4th,3/4th Grade,NE Elite,Court 2
Summer 2016,6/16/2016,8:30pm,3/4 Roncalli Lady Pride 4th,3/4 Lady Grizzlies Black 4th,3/4th Grade,NE Elite,Court 2
Summer 2016,6/22/2016,5:30pm,7 Millard North Silver 7th,7 OSA Black 7th,7th Grade,NE Elite,Court 1
Summer 2016,6/22/2016,6:30pm,7 School of Hoops 7th,7 Abraham Lincoln Jr. Lynx 7th,7th Grade,NE Elite,Court 1
Summer 2016,6/22/2016,7:30pm,7 Abraham Lincoln Jr. Lynx 7th,7 Legends 7th,7th Grade,NE Elite,Court 1
Summer 2016,6/22/2016,8:30pm,7 Legacy 7th,7 School of Hoops 7th,7th Grade,NE Elite,Court 1
Summer 2016,6/22/2016,5:30pm,3/4 Platteview Jr. Trojans 4th,3/4 Roncalli Lady Pride 3rd,3/4th Grade,NE Elite,Court 2
Summer 2016,6/22/2016,6:30pm,5/6 Gretna Whyte 5th,5/6 Harlan Cyclones 6th,5/6th Grade,NE Elite,Court 2
Summer 2016,6/22/2016,7:30pm,5/6 Lady Warriors 5th/6th,5/6 Harlan Cyclones 6th,5/6th Grade,NE Elite,Court 2
Summer 2016,6/22/2016,8:30pm,5/6 Millard West Black 6th,5/6 Marian Jr. Cursaders Black 5th,5/6th Grade,NE Elite,Court 2
Summer 2016,6/23/2016,6:30pm,3/4 Millard North 4th,3/4 Roncalli Lady Pride 4th,3/4th Grade,NE Elite,Court 1
Summer 2016,6/23/2016,7:30pm,5/6 Skutt 6th,5/6 Lady Grizzlies Orange 6th,5/6th Grade,NE Elite,Court 1
Summer 2016,6/23/2016,8:30pm,5/6 Lady Warriors 5th/6th,5/6 OSA Green 4th,5/6th Grade,NE Elite,Court 1
Summer 2016,6/23/2016,6:30pm,3/4 Roncalli Lady Pride 3rd,3/4 School of Hoops 4th,3/4th Grade,NE Elite,Court 2
Summer 2016,6/23/2016,7:30pm,3/4 OSA 3rd,3/4 Roncalli Lady Pride 4th,3/4th Grade,NE Elite,Court 2
Summer 2016,6/23/2016,8:30pm,3/4 School of Hoops 4th,3/4 OSA 3rd,3/4th Grade,NE Elite,Court 2
Summer 2016,6/29/2016,5:30pm,7 Millard North Silver 7th,7 Skutt 7th,7th Grade,NE Elite,Court 1
Summer 2016,6/29/2016,6:30pm,7 Skutt 7th,7 Legends 7th,7th Grade,NE Elite,Court 1
Summer 2016,6/29/2016,7:30pm,7 Abraham Lincoln Jr. Lynx 7th,7 Legacy 7th,7th Grade,NE Elite,Court 1
Summer 2016,6/29/2016,8:30pm,7 OSA Black 7th,7 Abraham Lincoln Jr. Lynx 7th,7th Grade,NE Elite,Court 1
Summer 2016,6/29/2016,5:30pm,3/4 Lady Grizzlies Black 4th,3/4 OSA 3rd,3/4th Grade,NE Elite,Court 2
Summer 2016,6/29/2016,6:30pm,5/6 Harlan Cyclones 6th,5/6 OSA Green 4th,5/6th Grade,NE Elite,Court 2
Summer 2016,6/29/2016,7:30pm,5/6 Harlan Cyclones 6th,5/6 Lady Grizzlies Orange 6th,5/6th Grade,NE Elite,Court 2
Summer 2016,6/30/2016,6:30pm,3/4 Roncalli Lady Pride 3rd,3/4 OSA White 4th,3/4th Grade,NE Elite,Court 1
