Season,Date,Location,Court,Time,Visitor,Home,Division
Winter 2016,1/24/2016,Nebraska Elite,Court 1,11:00am,3B PLV Monarchs 3rd,3B AL Jr. Lynx 3rd,3rd Grade Bronze
Winter 2016,2/21/2016,Nebraska Elite,Court 1,10:00am,3B Elkhorn Elite Red 3rd,3B AL Jr. Lynx 3rd,3rd Grade Bronze
Winter 2016,2/28/2016,Nebraska Elite,Court 1,12:00pm,3B Blair White 3rd,3B AL Jr. Lynx 3rd,3rd Grade Bronze
Winter 2016,2/7/2016,Nebraska Elite,Court 1,11:00am,3B Bennington Badgers - Cemer 3rd,3B AL Jr. Lynx 3rd,3rd Grade Bronze
Winter 2016,1/24/2016,Nebraska Elite,Court 1,12:00pm,3B JCC Lady Lions 3rd,3B Bellevue Thunder 3rd,3rd Grade Bronze
Winter 2016,2/21/2016,Nebraska Elite,Court 1,12:00pm,3B Bennington Badgers - Cemer 3rd,3B Bellevue Thunder 3rd,3rd Grade Bronze
Winter 2016,2/7/2016,Nebraska Elite,Court 1,10:00am,3B PLV Monarchs 3rd,3B Bellevue Thunder 3rd,3rd Grade Bronze
Winter 2016,1/17/2016,Nebraska Elite,Court 1,9:00am,3B Blair White 3rd,3B Bennington Badgers - Cemer 3rd,3rd Grade Bronze
Winter 2016,1/24/2016,Nebraska Elite,Court 1,9:00am,3B Elkhorn Elite Red 3rd,3B Bennington Badgers - Cemer 3rd,3rd Grade Bronze
Winter 2016,2/28/2016,Nebraska Elite,Court 1,11:00am,3B JCC Lady Lions 3rd,3B Bennington Badgers - Cemer 3rd,3rd Grade Bronze
Winter 2016,2/28/2016,Nebraska Elite,Court 1,9:00am,3B Elkhorn Angles 3rd,3B Bennington Badgers - Cemer 3rd,3rd Grade Bronze
Winter 2016,1/10/2016,Nebraska Elite,Court 1,12:00pm,3B AL Jr. Lynx 3rd,3B Bennington Badgers - O'Connor 3rd,3rd Grade Bronze
Winter 2016,1/31/2016,Nebraska Elite,Court 1,9:00am,3B Bellevue Thunder 3rd,3B Bennington Badgers - O'Connor 3rd,3rd Grade Bronze
Winter 2016,2/21/2016,Nebraska Elite,Court 1,9:00am,3B PLV Monarchs 3rd,3B Bennington Badgers - O'Connor 3rd,3rd Grade Bronze
Winter 2016,1/24/2016,Nebraska Elite,Court 1,10:00am,3B Bennington Badgers - O'Connor 3rd,3B Blair White 3rd,3rd Grade Bronze
Winter 2016,2/21/2016,Nebraska Elite,Court 1,11:00am,3B Elkhorn Angles 3rd,3B Blair White 3rd,3rd Grade Bronze
Winter 2016,2/7/2016,Nebraska Elite,Court 1,1:00pm,3B Elkhorn Elite Gold 3rd,3B Blair White 3rd,3rd Grade Bronze
Winter 2016,1/17/2016,Nebraska Elite,Court 1,10:00am,3B AL Jr. Lynx 3rd,3B Elkhorn Angles 3rd,3rd Grade Bronze
Winter 2016,1/24/2016,Nebraska Elite,Court 1,1:00pm,3B Elkhorn Elite Gold 3rd,3B Elkhorn Angles 3rd,3rd Grade Bronze
Winter 2016,1/31/2016,Nebraska Elite,Court 1,11:00am,3B Bellevue Thunder 3rd,3B Elkhorn Angles 3rd,3rd Grade Bronze
Winter 2016,2/7/2016,Nebraska Elite,Court 1,9:00am,3B Elkhorn Elite Red 3rd,3B Elkhorn Angles 3rd,3rd Grade Bronze
Winter 2016,1/10/2016,Nebraska Elite,Court 1,1:00pm,3B Bennington Badgers - Cemer 3rd,3B Elkhorn Elite Gold 3rd,3rd Grade Bronze
Winter 2016,1/17/2016,Nebraska Elite,Court 1,1:00pm,3B Bellevue Thunder 3rd,3B Elkhorn Elite Gold 3rd,3rd Grade Bronze
Winter 2016,1/31/2016,Nebraska Elite,Court 1,1:00pm,3B AL Jr. Lynx 3rd,3B Elkhorn Elite Gold 3rd,3rd Grade Bronze
Winter 2016,2/28/2016,Nebraska Elite,Court 1,1:00pm,3B Bennington Badgers - O'Connor 3rd,3B Elkhorn Elite Gold 3rd,3rd Grade Bronze
Winter 2016,1/10/2016,Nebraska Elite,Court 1,11:00am,3B Bellevue Thunder 3rd,3B Elkhorn Elite Red 3rd,3rd Grade Bronze
Winter 2016,1/17/2016,Nebraska Elite,Court 1,11:00am,3B Bennington Badgers - O'Connor 3rd,3B Elkhorn Elite Red 3rd,3rd Grade Bronze
Winter 2016,1/31/2016,Nebraska Elite,Court 1,10:00am,3B JCC Lady Lions 3rd,3B Elkhorn Elite Red 3rd,3rd Grade Bronze
Winter 2016,2/28/2016,Nebraska Elite,Court 1,10:00am,3B PLV Monarchs 3rd,3B Elkhorn Elite Red 3rd,3rd Grade Bronze
Winter 2016,1/10/2016,Nebraska Elite,Court 1,10:00am,3B Blair White 3rd,3B JCC Lady Lions 3rd,3rd Grade Bronze
Winter 2016,2/21/2016,Nebraska Elite,Court 1,1:00pm,3B Elkhorn Elite Gold 3rd,3B JCC Lady Lions 3rd,3rd Grade Bronze
Winter 2016,2/7/2016,Nebraska Elite,Court 1,12:00pm,3B Bennington Badgers - O'Connor 3rd,3B JCC Lady Lions 3rd,3rd Grade Bronze
Winter 2016,1/10/2016,Nebraska Elite,Court 1,9:00am,3B Elkhorn Angles 3rd,3B PLV Monarchs 3rd,3rd Grade Bronze
Winter 2016,1/17/2016,Nebraska Elite,Court 1,12:00pm,3B JCC Lady Lions 3rd,3B PLV Monarchs 3rd,3rd Grade Bronze
Winter 2016,1/31/2016,Nebraska Elite,Court 1,12:00pm,3B Blair White 3rd,3B PLV Monarchs 3rd,3rd Grade Bronze
Winter 2016,1/10/2016,Nebraska Elite,Court 1,2:00pm,3GSA Gretna Woods 3rd,3GSA Blair Purple 3rd,3rd Grade Gold Silver
Winter 2016,1/24/2016,Nebraska Elite,Court 1,5:00pm,3GSA Fremont Elite 3rd,3GSA Blair Purple 3rd,3rd Grade Gold Silver
Winter 2016,2/21/2016,Nebraska Elite,Court 1,6:00pm,3GSA Elkhorn South Jr. Storm 3rd,3GSA Blair Purple 3rd,3rd Grade Gold Silver
Winter 2016,1/10/2016,Nebraska Elite,Court 1,3:00pm,3GSA Lady Grizzlies Black 3rd,3GSA Elkhorn Elite Gold 3rd,3rd Grade Gold Silver
Winter 2016,1/24/2016,Nebraska Elite,Court 1,3:00pm,3GSA Gretna Woods 3rd,3GSA Elkhorn Elite Gold 3rd,3rd Grade Gold Silver
