Season,Date,Time,Visitor,Home,Division,Location,Court
Winter 2017,1/14/2017,12:00pm,3B Bellevue Ice 3rd,3B Arlington Eagles 3rd,3B,NE Elite,Court 2
Winter 2017,1/28/2017,11:00am,3B Millard South 3rd,3B Arlington Eagles 3rd,3B,NE Elite,Court 2
Winter 2017,1/7/2017,10:00am,3B Belleuve Thunder Purple 3rd,3B Arlington Eagles 3rd,3B,NE Elite,Court 2
Winter 2017,2/25/2017,11:00am,3B Gretna Rhoades 3rd,3B Arlington Eagles 3rd,3B,NE Elite,Court 2
Winter 2017,1/14/2017,1:00pm,3B Gretna Hoopers 3rd,3B Belleuve Thunder Purple 3rd,3B,NE Elite,Court 2
Winter 2017,1/21/2017,10:00am,3B Elkhorn Elite Gold 3rd,3B Belleuve Thunder Purple 3rd,3B,NE Elite,Court 2
Winter 2017,2/11/2017,8:00am,3B Small But Mighty 2nd,3B Belleuve Thunder Purple 3rd,3B,NE Elite,Court 2
Winter 2017,2/4/2017,1:00pm,3B Gretna Hermeling 3rd,3B Belleuve Thunder Purple 3rd,3B,NE Elite,Court 2
Winter 2017,1/21/2017,1:00pm,3B Millard West Green 3rd,3B Bellevue Ice 3rd,3B,NE Elite,Court 2
Winter 2017,2/11/2017,1:00pm,3B Logan IA 3rd,3B Bellevue Ice 3rd,3B,NE Elite,Court 2
Winter 2017,2/11/2017,11:00am,3B Gretna Hoopers 3rd,3B Bellevue Ice 3rd,3B,NE Elite,Court 2
Winter 2017,1/14/2017,9:00am,3B Elkhorn Elite Gold 3rd,3B Blair White 3rd,3B,NE Elite,Court 2
Winter 2017,1/21/2017,11:00am,3B Belleuve Thunder Purple 3rd,3B Blair White 3rd,3B,NE Elite,Court 2
Winter 2017,2/25/2017,12:00pm,3B Bellevue Ice 3rd,3B Blair White 3rd,3B,NE Elite,Court 2
Winter 2017,2/4/2017,9:00am,3B Millard South 3rd,3B Blair White 3rd,3B,NE Elite,Court 2
Winter 2017,1/28/2017,12:00pm,3B Logan IA 3rd,3B Elkhorn Elite Gold 3rd,3B,NE Elite,Court 2
Winter 2017,1/7/2017,11:00am,3B Bellevue Ice 3rd,3B Elkhorn Elite Gold 3rd,3B,NE Elite,Court 2
Winter 2017,2/11/2017,9:00am,3B Millard West Green 3rd,3B Elkhorn Elite Gold 3rd,3B,NE Elite,Court 2
Winter 2017,2/4/2017,12:00pm,3B Gretna Rhoades 3rd,3B Elkhorn Elite Gold 3rd,3B,NE Elite,Court 2
Winter 2017,1/14/2017,10:00am,3B Arlington Eagles 3rd,3B Gretna Hermeling 3rd,3B,NE Elite,Court 2
Winter 2017,1/21/2017,9:00am,3B Blair White 3rd,3B Gretna Hermeling 3rd,3B,NE Elite,Court 2
Winter 2017,2/25/2017,10:00am,3B Millard South 3rd,3B Gretna Hermeling 3rd,3B,NE Elite,Court 2
Winter 2017,2/25/2017,8:00am,3B Elkhorn Elite Gold 3rd,3B Gretna Hermeling 3rd,3B,NE Elite,Court 2
Winter 2017,1/28/2017,10:00am,3B Gretna Hermeling 3rd,3B Gretna Hoopers 3rd,3B,NE Elite,Court 2
Winter 2017,1/7/2017,8:00am,3B Blair White 3rd,3B Gretna Hoopers 3rd,3B,NE Elite,Court 2
Winter 2017,2/4/2017,10:00am,3B Logan IA 3rd,3B Gretna Hoopers 3rd,3B,NE Elite,Court 2
Winter 2017,2/4/2017,8:00am,3B Small But Mighty 2nd,3B Gretna Hoopers 3rd,3B,NE Elite,Court 2
Winter 2017,1/21/2017,12:00pm,3B Bellevue Ice 3rd,3B Gretna Rhoades 3rd,3B,NE Elite,Court 2
